<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (0, 399), 'rel': (0, 399)})>
<Event(1-ActiveEvent {'state': 1, 'gain': 0})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (2, 399), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (25, 399), 'rel': (23, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (50, 399), 'rel': (25, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (78, 399), 'rel': (28, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (110, 399), 'rel': (32, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (139, 399), 'rel': (29, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (169, 399), 'rel': (30, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (198, 393), 'rel': (29, -6)})>
<Event(1-ActiveEvent {'state': 1, 'gain': 1})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (225, 373), 'rel': (27, -20)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (236, 365), 'rel': (11, -8)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (258, 348), 'rel': (22, -17)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (278, 334), 'rel': (20, -14)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (285, 329), 'rel': (7, -5)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (300, 319), 'rel': (15, -10)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (313, 310), 'rel': (13, -9)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (325, 304), 'rel': (12, -6)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (329, 302), 'rel': (4, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (338, 298), 'rel': (9, -4)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 294), 'rel': (7, -4)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (352, 292), 'rel': (7, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (359, 289), 'rel': (7, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (364, 288), 'rel': (5, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (369, 286), 'rel': (5, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (374, 284), 'rel': (5, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (377, 283), 'rel': (3, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (379, 282), 'rel': (2, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (382, 282), 'rel': (3, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (384, 281), 'rel': (2, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (385, 281), 'rel': (1, 0)})>
